,Bundesland,Einwohner,Faelle,Todesfaelle
0,Schleswig-Holstein,2896712,3253,154
1,Hamburg,1841179,5240,261
2,Niedersachsen,7982448,13963,645
3,Bremen,682986,1718,55
4,Nordrhein-Westfalen,17932651,46024,1712
5,Hessen,6265809,11386,514
6,Rheinland-Pfalz,4084844,7299,238
7,Baden-Württemberg,11069533,36342,1838
8,Bayern,13076721,49710,2616
9,Saarland,990509,2828,174
10,Berlin,3644826,8774,221
11,Brandenburg,2511917,3476,167
12,Mecklenburg-Vorpommern,1609675,806,20
13,Sachsen,4077937,5488,225
14,Sachsen-Anhalt,2208321,1946,62
15,Thüringen,2143145,3321,182
